Kingdom	Turns	Player Won	Opponent VP	Player VP	Runtime
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	24	0	51	6	0.042512
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	23	0	51	5	0.045349
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	12	0.041624
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	33	0	51	9	0.059994
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	8	0.042266
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	9	0.045499
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	25	0	51	9	0.045220
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	34	0	51	13	0.058983
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	8	0.049402
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	25	0	51	9	0.041035
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	30	0	51	4	0.056800
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	23	0	51	8	0.039308
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	6	0.050190
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	10	0.045689
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	31	0	51	9	0.052038
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	10	0.045593
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	6	0.047773
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	8	0.050309
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	15	0.036750
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	10	0.039454
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	24	0	51	8	0.038769
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	10	0.047545
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	11	0.045928
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	10	0.044804
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	24	0	51	9	0.037706
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	6	0.049286
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	8	0.053712
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	9	0.046842
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	10	0.045505
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	6	0.051443
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	24	0	51	8	0.042813
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	25	0	51	9	0.045279
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	25	0	51	7	0.040743
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	6	0.044343
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	57	0	111	24	0.101053
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	30	0	51	11	0.051274
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	10	0.046328
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	5	0.039018
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	7	0.046292
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	11	0.044513
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	6	0.047056
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	9	0.050450
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	8	0.045339
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	7	0.051742
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	11	0.042932
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	31	0	51	6	0.057227
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	31	0	51	8	0.052774
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	4	0.044924
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	12	0.045184
